children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,debt
1,-258.512983350301,31,Высшее,0,женат / замужем,0,M,0
0,-2639.860462546934,49,СРЕДНЕЕ,1,женат / замужем,0,F,0
2,-109.04988683565672,40,Среднее,1,женат / замужем,0,M,0
0,,57,среднее,1,вдовец / вдова,2,F,0
0,-1309.3190092448087,57,среднее,1,гражданский брак,1,F,0
1,-3710.258346748796,37,высшее,0,женат / замужем,0,F,0
1,-2082.299714348407,38,высшее,0,Не женат / не замужем,4,M,0
1,-3611.670311085897,35,высшее,0,женат / замужем,0,M,0
1,-341.0785598915056,35,высшее,0,женат / замужем,0,F,0
0,-576.927659918877,47,среднее,1,женат / замужем,0,M,0
0,380473.10679380666,56,среднее,1,женат / замужем,0,F,0
0,-2449.6868939213955,43,высшее,0,Не женат / не замужем,4,F,0
0,-6880.419902944515,47,высшее,0,женат / замужем,0,F,0
1,-2776.8564124454524,40,среднее,1,женат / замужем,0,M,0
0,332860.5245615907,49,среднее,1,женат / замужем,0,F,0
0,-9427.83202069086,65,ВЫСШЕЕ,0,в разводе,3,F,0
0,397158.28664321336,66,среднее,1,женат / замужем,0,M,0
0,,61,среднее,1,Не женат / не замужем,4,F,0
0,-2539.5027942111788,52,высшее,0,женат / замужем,0,M,0
0,,58,высшее,0,женат / замужем,0,M,0
1,-588.777921099682,42,высшее,0,женат / замужем,0,F,0
0,,61,среднее,1,гражданский брак,1,M,0
2,,40,среднее,1,женат / замужем,0,F,0
1,-2159.957007191678,33,неоконченное высшее,2,женат / замужем,0,M,0
0,391127.3375698778,59,среднее,1,гражданский брак,1,F,0
0,-400.05039951248426,31,среднее,1,женат / замужем,0,M,0
0,-810.9267956321954,61,среднее,1,женат / замужем,0,F,0
2,-672.7917694809772,39,среднее,1,женат / замужем,0,M,0
1,-2468.784738414269,44,высшее,0,гражданский брак,1,F,0
2,-1089.2730675234911,39,среднее,1,женат / замужем,0,F,0
0,,52,среднее,1,Не женат / не замужем,4,F,1
0,-3000.615856453229,30,высшее,0,женат / замужем,0,M,0
0,,57,Среднее,1,вдовец / вдова,2,F,0
1,-2766.9624267148724,27,среднее,1,женат / замужем,0,F,0
1,-1610.8640676880084,32,высшее,0,гражданский брак,1,M,1
0,-3009.81737159779,30,высшее,0,Не женат / не замужем,4,M,0
0,-2010.4297279822351,49,высшее,0,женат / замужем,0,M,0
1,-1327.205069822529,52,высшее,0,женат / замужем,0,M,0
1,-1938.1336400895689,52,начальное,3,гражданский брак,1,M,0
0,-277.2370380732215,29,среднее,1,Не женат / не замужем,4,M,0
0,-1384.0110802334018,50,среднее,1,женат / замужем,0,F,0
0,,52,высшее,0,Не женат / не замужем,4,M,0
0,-2412.592208905699,26,высшее,0,гражданский брак,1,M,0
0,336550.8045988521,52,среднее,1,женат / замужем,0,F,0
2,-251.3528610509669,55,высшее,0,гражданский брак,1,F,0
0,-1860.7341278593249,25,высшее,0,женат / замужем,0,F,0
0,-11535.793753711898,47,среднее,1,женат / замужем,0,F,1
0,,64,среднее,1,женат / замужем,0,F,0
0,-3338.8677462507726,57,высшее,0,Не женат / не замужем,4,M,0
0,-122.5324174955714,35,среднее,1,женат / замужем,0,F,0
0,396436.30863325647,66,среднее,1,женат / замужем,0,M,0
0,367149.64960692,57,среднее,1,женат / замужем,0,F,1
0,-1523.4660377244886,40,среднее,1,гражданский брак,1,F,0
0,-3929.5192897857,47,среднее,1,гражданский брак,1,F,0
0,,60,высшее,0,женат / замужем,0,F,1
0,-662.0580544368836,40,среднее,1,Не женат / не замужем,4,M,0
0,385428.057029377,59,среднее,1,вдовец / вдова,2,F,0
